algorithm,training_seed,evaluation_episode,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length
A3_no_energy_penalty,1,3,4917001.096438657,9834002.192877313,11077781.68031671,1300.131835175181,2744.670820903567,399.32017366470353,0,89,100
A3_no_energy_penalty,1,4,4917001.096438657,9834002.192877313,11077781.68031671,1300.131835175181,2744.670820903567,399.32017366470353,0,89,100
A3_no_energy_penalty,2,0,4911598.608738456,9823197.217476912,11530863.30433394,1290.771764534393,3593.1060168420463,402.75013463718943,0,84,100
A3_no_energy_penalty,2,1,4911598.608738456,9823197.217476912,11530863.30433394,1290.771764534393,3593.1060168420463,402.75013463718943,0,84,100
A3_no_energy_penalty,2,2,4911598.608738456,9823197.217476912,11530863.30433394,1290.771764534393,3593.1060168420463,402.75013463718943,0,84,100
A3_no_energy_penalty,2,3,4911598.608738456,9823197.217476912,11530863.30433394,1290.771764534393,3593.1060168420463,402.75013463718943,0,84,100
A3_no_energy_penalty,2,4,4911598.608738456,9823197.217476912,11530863.30433394,1290.771764534393,3593.1060168420463,402.75013463718943,0,84,100
A4_fixed_relay_height,0,0,3856629.417579216,7713258.835158432,14190652.591160739,285.81319753533097,22783.381972466574,294.1416769350027,0,76,100
A4_fixed_relay_height,0,1,3856629.417579216,7713258.835158432,14190652.591160739,285.81319753533097,22783.381972466574,294.1416769350027,0,76,100
A4_fixed_relay_height,0,2,3856629.417579216,7713258.835158432,14190652.591160739,285.81319753533097,22783.381972466574,294.1416769350027,0,76,100
A4_fixed_relay_height,0,3,3856629.417579216,7713258.835158432,14190652.591160739,285.81319753533097,22783.381972466574,294.1416769350027,0,76,100
A4_fixed_relay_height,0,4,3856629.417579216,7713258.835158432,14190652.591160739,285.81319753533097,22783.381972466574,294.1416769350027,0,76,100
A4_fixed_relay_height,1,0,3991476.9409325696,7982953.881865139,11803947.508833442,335.73826008959566,4317.498085314883,310.43151715985164,0,78,100
A4_fixed_relay_height,1,1,3991476.9409325696,7982953.881865139,11803947.508833442,335.73826008959566,4317.498085314883,310.43151715985164,0,78,100
A4_fixed_relay_height,1,2,3991476.9409325696,7982953.881865139,11803947.508833442,335.73826008959566,4317.498085314883,310.43151715985164,0,78,100
A4_fixed_relay_height,1,3,3991476.9409325696,7982953.881865139,11803947.508833442,335.73826008959566,4317.498085314883,310.43151715985164,0,78,100
A4_fixed_relay_height,1,4,3991476.9409325696,7982953.881865139,11803947.508833442,335.73826008959566,4317.498085314883,310.43151715985164,0,78,100
A4_fixed_relay_height,2,0,3966358.9426870537,7932717.885374107,13490281.2654844,332.88388451799574,13241.806170072592,307.79542900212846,0,75,100
A4_fixed_relay_height,2,1,3966358.9426870537,7932717.885374107,13490281.2654844,332.88388451799574,13241.806170072592,307.79542900212846,0,75,100
A4_fixed_relay_height,2,2,3966358.9426870537,7932717.885374107,13490281.2654844,332.88388451799574,13241.806170072592,307.79542900212846,0,75,100
A4_fixed_relay_height,2,3,3966358.9426870537,7932717.885374107,13490281.2654844,332.88388451799574,13241.806170072592,307.79542900212846,0,75,100
A4_fixed_relay_height,2,4,3966358.9426870537,7932717.885374107,13490281.2654844,332.88388451799574,13241.806170072592,307.79542900212846,0,75,100
