method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
SAC,eval_0,31,1000,897.21677494,496.185090065,10554680.7307,9677417.87867,4838708.93934,3.81018802183,1,4838708.93934,4.83870893934,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,32,1000,910.189416885,500,10583146.765,9707834.38675,4853917.19338,3.8254912383,1,4853917.19338,4.85391719338,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,33,1000,923.16953373,500,10585005.442,9807243.97638,4903621.98819,3.87768726651,1,4903621.98819,4.90362198819,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,34,1000,936.154794693,500,10586190.9298,9908631.71754,4954315.85877,3.93091866449,1,4954315.85877,4.95431585877,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,35,1000,949.14574337,500,10586696.6144,10010453.1955,5005226.59774,3.98436811617,1,5005226.59774,5.00522659774,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,36,1000,962.142421722,500,10586518.7572,10111375.6823,5055687.84115,4.03733678471,1,5055687.84115,5.05568784115,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,37,1000,975.147678375,500,10585656.0882,10210303.9881,5105151.99407,4.08925103539,1,5105151.99407,5.10515199407,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,38,1000,988.161255836,500,10584109.698,10306324.4565,5153162.22825,4.13963359095,1,5153162.22825,5.15316222825,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,39,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18379106998,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,40,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378629219,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,41,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378639515,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,42,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378637666,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,43,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378635903,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,44,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378620797,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,45,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378602408,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,46,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378583955,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,47,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837856546,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,48,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378547057,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,49,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378523056,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,50,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378494285,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,51,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378465721,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,52,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378424615,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,53,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378371116,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,54,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378316382,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,55,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837826156,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,56,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378197354,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,57,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378129733,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,58,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18378062226,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,59,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377994616,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,60,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377926761,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,61,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377858764,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,62,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377790806,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,63,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377723078,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,64,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377653155,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,65,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377580337,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,66,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377507657,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,67,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377425008,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,68,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837733791,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,69,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377250893,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,70,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377163991,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,71,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18377075121,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,72,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837696061,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,73,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18376827874,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,74,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18376682211,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,75,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18376532568,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,76,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837638197,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,77,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18376227261,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,78,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18376066568,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,79,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18375899005,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,80,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.18375732045,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
SAC,eval_0,81,1000,1000,500,10582113.1889,10390488.775,5195244.38748,4.1837556491,1,5195244.38748,5.19524438748,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
