method,scenario_id,step,q_R_x,q_R_y,q_R_z,rate_HR,rate_RL,rate_e2e,reward,constraint_violation,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
TD3,eval_0,41,1000,1000,81.3333795942,7978207.31513,15283396.3138,3989103.65756,2.82308118693,1,3989103.65756,3.98910365756,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,42,1000,1000,77.3449660701,7953932.31419,15274232.4062,3976966.15709,2.81039236295,1,3976966.15709,3.97696615709,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,43,1000,1000,73.5025190276,7930573.06436,15263753.8216,3965286.53218,2.79820518879,1,3965286.53218,3.96528653218,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,44,1000,1000,69.7956313552,7908063.59524,15252121.084,3954031.79762,2.78648259798,1,3954031.79762,3.95403179762,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,45,1000,1000,66.2154831351,7886347.88992,15239476.5756,3943173.94496,2.7751930471,1,3943173.94496,3.94317394496,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,46,1000,1000,62.7511389159,7865357.39813,15225933.7818,3932678.69906,2.76429877686,1,3932678.69906,3.93267869906,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,47,1000,1000,59.3940873049,7845038.55512,15211594.9385,3922519.27756,2.75377010205,1,3922519.27756,3.92251927756,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,48,1000,1000,56.1426346205,7825379.24521,15196577.6778,3912689.62261,2.74359901042,1,3912689.62261,3.91268962261,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,49,1000,1000,52.993223419,7806356.17469,15180982.844,3903178.08734,2.73377181754,1,3903178.08734,3.90317808734,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,50,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444424,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,51,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,52,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444435,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,53,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444419,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,54,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.7244544444,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
TD3,eval_0,55,1000,1000,50,7788294.19896,15165214.8255,3894147.09948,2.72445444428,1,3894147.09948,3.89414709948,results/phase4/algorithms and fixed Phase 4 eval_0 scenario,phase5,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
