algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
StaticRelayPolicy,-1,0,eval_0,1746559.4043063342,3493118.8086126684,13774175.021939507,10.259874235952203,14009.055222843039,144.88562345387624,0,0,100,1746559.40431,1.74655940431,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,-1,0,eval_0,3714326.8626285847,7428653.725257169,9775706.819874298,200.71818168599893,1405.0292381505374,269.676766026838,0,94,100,3714326.86263,3.71432686263,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,-1,0,eval_0,2041900.1398228714,4083800.279645743,15269823.882014597,16.04521500082765,39853.63412010645,168.2202149136813,0,7,100,2041900.13982,2.04190013982,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,-1,0,eval_0,2415220.409179593,4830440.818359186,11303197.190508647,27.791562854899013,2735.257021729818,221.39734435956078,0,0,100,2415220.40918,2.41522040918,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
BalancedLinkPolicy,-1,0,eval_0,3943717.715438894,7888045.691989048,9046362.078034168,308.3025830636801,1066.413552523003,389.68598976083257,0,1,100,3943717.71544,3.94371771544,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,-1,1,eval_1,3654523.433199456,7309046.866398912,13627343.042912088,175.0458919648123,13531.366454792553,349.7973601222499,0,0,100,3654523.4332,3.6545234332,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
StaticRelayPolicy,-1,1,eval_1,3003977.691235575,6007955.38247115,13854413.66600643,63.353886873321706,14810.330940334079,280.6456986016962,0,0,100,3003977.69124,3.00397769124,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,-1,1,eval_1,4618377.683456202,9236755.366912404,10819869.858138112,627.2603738907231,2001.95708872705,361.99012567690494,0,95,100,4618377.68346,4.61837768346,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,-1,1,eval_1,3267216.840332663,6534433.680665326,14031316.00177338,91.69710012668507,16742.556030138177,307.4857666618419,0,1,100,3267216.84033,3.26721684033,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,-1,1,eval_1,5155250.287987594,10311310.303834617,10815687.529091505,1376.3545443809373,2137.426901273648,503.0702976719917,0,11,100,5155250.28799,5.15525028799,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
BalancedLinkPolicy,-1,1,eval_1,4726767.709899157,9454471.173833081,9828283.93671776,726.6596473066503,1340.283789111187,462.67985115140067,0,9,100,4726767.7099,4.7267677099,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,-1,2,eval_2,3474765.6132710264,6949531.226542053,13971717.01803966,128.48940376755954,16873.418598649172,330.1434495156763,0,0,100,3474765.61327,3.47476561327,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
StaticRelayPolicy,-1,2,eval_2,3621893.179291306,7243786.358582612,14776081.247671483,150.56432026114598,28056.15774709997,345.0859115331958,0,0,100,3621893.17929,3.62189317929,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,-1,2,eval_2,4783458.361975445,9566916.72395089,11081921.102015087,780.572644256125,2582.720401978513,378.8019838312283,0,95,100,4783458.36198,4.78345836198,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,-1,2,eval_2,3257151.719811705,6514303.43962341,14254172.737050349,90.46364201250624,19544.05916496198,306.0619448432788,0,1,100,3257151.71981,3.25715171981,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,-1,2,eval_2,5185603.498683331,10371835.590126052,10811610.79537792,1397.5641472216273,2536.798512040949,506.32205502146974,0,11,100,5185603.49868,5.18560349868,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
BalancedLinkPolicy,-1,2,eval_2,4993900.628969099,9987801.257938199,10369093.78467359,1053.5963540543326,1834.6156767705377,494.4028534368096,0,4,100,4993900.62897,4.99390062897,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,-1,3,eval_3,4431117.833982409,8862235.667964818,12784846.184670215,482.59509263989736,7291.620693360019,433.5107110609062,0,0,100,4431117.83398,4.43111783398,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
StaticRelayPolicy,-1,3,eval_3,4071442.014843888,8142884.029687776,12850453.334062787,281.6521831075405,7384.364107622701,395.9321459097863,0,0,100,4071442.01484,4.07144201484,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,-1,3,eval_3,5104048.537027933,10208097.074055865,11291938.74576401,1198.4953282877468,2546.618960536666,411.98139043833805,0,95,100,5104048.53703,5.10404853703,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,-1,3,eval_3,4199857.319951629,8399714.639903259,12986269.454830023,336.7282613793359,8113.412224205053,408.25317072024666,0,1,100,4199857.31995,4.19985731995,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,-1,3,eval_3,5246755.245049643,10493510.490099287,10763020.93992162,1472.2181960580122,1861.9410084759468,518.88741346951,0,5,100,5246755.24505,5.24675524505,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
BalancedLinkPolicy,-1,3,eval_3,5238784.108658384,10477780.070687879,10694956.067312833,1457.2315715994505,1740.590874258788,522.2405374728187,0,1,100,5238784.10866,5.23878410866,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
RandomPolicy,-1,4,eval_4,3474765.613271026,6949531.226542052,13201359.931174144,128.48940376755942,9637.707143373305,331.40285441963874,0,0,100,3474765.61327,3.47476561327,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
StaticRelayPolicy,-1,4,eval_4,3621893.179291306,7243786.358582612,13774175.021939507,150.56432026114598,14009.055222843039,346.65406085750806,0,0,100,3621893.17929,3.62189317929,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
MidpointPolicy,-1,4,eval_4,4994298.891787204,9988597.783574408,11303197.190508647,1054.205510915596,2735.257021729818,404.4412257514256,0,91,100,4994298.89179,4.99429889179,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
HorizontalMidpointPolicy,-1,4,eval_4,3621893.179291306,7243786.358582612,13774175.021939507,150.56432026114598,14009.055222843039,346.65406085750806,0,0,100,3621893.17929,3.62189317929,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
GreedyRatePolicy,-1,4,eval_4,5201860.626006397,10403893.57669834,11027003.515107846,1426.4806446047764,2605.4719057809034,511.55637769803195,0,7,100,5201860.62601,5.20186062601,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
BalancedLinkPolicy,-1,4,eval_4,5169445.675690468,10339782.631387811,10733913.919070447,1366.1577379970952,2000.350884800654,513.8597852743526,0,2,100,5169445.67569,5.16944567569,results/phase4/algorithm_episode_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
