algorithm,training_seed,evaluation_episode,scenario_id,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
A2_no_balance_penalty,0,2,eval_2,3343003.0009819376,6686006.001963875,12507808.084892424,102.67531505429206,7642.4777797154065,254.88131972734575,0,79,100,3343003.00098,3.34300300098,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,0,3,eval_3,4066524.5783381104,8133049.156676221,12150191.217059687,280.2276297559627,4994.195219856682,328.88779227020933,0,77,100,4066524.57834,4.06652457834,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,0,4,eval_4,3333069.5370798167,6666139.074159633,12197979.076794052,100.86911060157314,5111.171940937454,257.856737803895,0,75,100,3333069.53708,3.33306953708,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,1,0,eval_0,4841632.009860444,9822152.391962348,10720342.836109929,1293.491778150766,2035.2192076635183,392.26320104887947,0,91,100,4841632.00986,4.84163200986,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,1,1,eval_1,5089552.5840523485,10179105.168104697,11232140.620107532,1332.642131735541,2657.69649999992,418.05525847364197,0,90,100,5089552.58405,5.08955258405,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,1,2,eval_2,5163512.120369234,10327024.240738468,11300343.985483944,1375.8439169512828,3212.2090084031634,427.45121209691047,0,88,100,5163512.12037,5.16351212037,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,1,3,eval_3,4136410.0024503893,8272820.004900779,10490297.759466497,395.1037038598337,1573.3575260391092,320.7410003084246,0,92,100,4136410.00245,4.13641000245,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,1,4,eval_4,5140739.144288902,10281478.288577804,11248652.335787024,1333.1825424639321,2824.288330353505,425.17391448986484,0,88,100,5140739.14429,5.14073914429,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,2,0,eval_0,4816345.279766802,9632690.559533603,11261167.659007704,1165.3299919573399,2759.907642370713,397.7345280274212,0,83,100,4816345.27977,4.81634527977,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
A2_no_balance_penalty,2,1,eval_1,5001672.298346494,10073152.93879693,11071666.209479712,1184.2902905044982,2889.6272640546613,414.26722989278863,0,85,100,5001672.29835,5.00167229835,results/phase4/ablations/ablation_results.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
