episode,episode_reward,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,outage_count,constraint_violation_count,trajectory_length,actor_loss,critic_loss,q1_mean,q2_mean,replay_buffer_size,exploration_noise,algorithm,training_seed,rate_bps,rate_mbps,source_file,source_stage,git_commit,source_code_hash
25,132.37221703984622,2320168.348380642,4640336.696761284,15483230.770703502,45.038456698111865,46584.45513400466,0,72,100,-0.38052600622177124,0.6329700946807861,0.5558697581291199,0.7549787759780884,2500,0.08822202429488012,TD3,0,2320168.34838,2.32016834838,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
26,162.64724977250495,2656081.053566118,5312162.107132236,16079964.134439318,64.07896200136697,76631.80340084042,0,77,100,,0.6989130973815918,0.5383493900299072,0.7302091121673584,2600,0.08778091417340572,TD3,0,2656081.05357,2.65608105357,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
27,164.01264906647438,2659448.807969042,5318897.615938084,16097629.41353624,64.16210527949227,77669.97715728694,0,76,100,-0.5161151885986328,0.648293137550354,0.5865917205810547,0.7031543254852295,2700,0.0873420096025387,TD3,0,2659448.80797,2.65944880797,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
28,166.8336391548364,2728903.953336659,5457807.906673318,15778180.076669985,70.12629265743907,60477.888697169226,0,81,100,,0.7058064937591553,0.6319530010223389,0.7707476019859314,2800,0.086905299554526,TD3,0,2728903.95334,2.72890395334,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
29,167.97771828474424,2720742.4801476393,5441484.960295279,15789910.024582572,70.52774052385286,63539.870631619284,0,79,100,-0.7215682864189148,0.6735713481903076,0.729297935962677,0.7962104082107544,2900,0.08647077305675337,TD3,0,2720742.48015,2.72074248015,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
30,176.83181776861866,2838179.1346239652,5676358.2692479305,15472934.078404177,82.33048518151529,52179.94058558055,0,83,100,,0.6676808595657349,0.7576674222946167,0.7606767416000366,3000,0.0860384191914696,TD3,0,2838179.13462,2.83817913462,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
31,171.5141383655539,2771374.9449499343,5542749.8898998685,15653346.6032878,75.60612581074314,58356.04073484039,0,81,100,-0.9119847416877747,0.5108500719070435,0.8487534523010254,0.8238241672515869,3100,0.08560822709551225,TD3,0,2771374.94495,2.77137494495,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
32,179.15190383309104,2865318.0513670654,5730636.102734131,15108135.015051577,90.60947154201672,40920.82494663338,0,84,100,,0.5807369947433472,0.9384986758232117,0.8586345911026001,3200,0.08518018596003468,TD3,0,2865318.05137,2.86531805137,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
33,188.02498216451062,2959676.154225428,5919352.308450856,15314105.751794338,94.60679363444667,50349.25121656172,0,85,100,-1.016840934753418,0.6788461208343506,0.9700446724891663,0.8901621699333191,3300,0.08475428503023451,TD3,0,2959676.15423,2.95967615423,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
34,196.711322888026,3057878.9329378004,6115757.865875601,15126662.759080034,106.1702135903306,47082.52237824042,0,87,100,,0.7235205173492432,0.9841917753219604,0.9118697643280029,3400,0.08433051360508334,TD3,0,3057878.93294,3.05787893294,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
35,194.25107207027898,3025390.6971214185,6050781.394242837,15118570.261456765,103.4632261275863,45502.69723211526,0,86,100,-1.056992530822754,0.49752503633499146,0.9756730198860168,0.9148581027984619,3500,0.08390886103705793,TD3,0,3025390.69712,3.02539069712,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
36,195.12647810080756,3041878.9705113154,6083757.941022631,15013716.738563731,107.103431990199,42526.62470121137,0,87,100,,0.6123635768890381,0.9366796016693115,0.9189721941947937,3600,0.08348931673187264,TD3,0,3041878.97051,3.04187897051,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
37,196.216503095572,3059428.981038391,6118857.962076782,14876760.849097122,112.4761265476592,39778.41667778064,0,88,100,-1.049027919769287,0.5612201690673828,1.042000412940979,1.0615650415420532,3700,0.08307187014821328,TD3,0,3059428.98104,3.05942898104,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
38,208.63543532855465,3184826.2450102884,6369652.490020577,14811791.64303049,123.09822953320509,39872.73260998126,0,89,100,,0.596038818359375,1.0474053621292114,1.0794248580932617,3800,0.08265651079747222,TD3,0,3184826.24501,3.18482624501,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
39,200.0336303546369,3104090.718780707,6208181.437561414,14832394.370672986,116.14126256999143,38248.71903232856,0,89,100,-1.0263292789459229,0.5994747877120972,0.915004312992096,0.9619036912918091,3900,0.08224322824348486,TD3,0,3104090.71878,3.10409071878,results/phase4/algorithms/<algorithm>/seed_<seed>/training_log.csv,phase4,221c50db0924c5cd02ad69e0e440bbb39da79d6c,013686511bc9830caa578e6aa7d4ea21962f1c845348e8e7a6db66acce6e9f97
