algorithm,training_seed,evaluation_episode,average_rate_e2e,average_rate_HR,average_rate_RL,average_snr_HR,average_snr_RL,total_reward,outage_count,constraint_violation_count,trajectory_length
RandomPolicy,-1,0,1796106.1970523107,3592212.3941046214,14618720.682446713,11.122899635705915,29304.26922853599,148.85491500949556,0,0,100
RandomPolicy,-1,1,1682344.9245396303,3364689.8490792606,14838562.099364202,9.49430936611821,30664.206107528717,136.19604475958565,0,0,100
RandomPolicy,-1,2,1569408.333334761,3138816.666669522,15445215.857341073,7.843882294241552,55788.84806897733,114.34199314644303,0,9,100
RandomPolicy,-1,3,1654452.7521455877,3308905.5042911754,14861056.999117794,8.956662276845773,31021.293478322186,133.17366101423312,0,0,100
RandomPolicy,-1,4,1953240.7656914296,3906481.531382859,14544585.41809677,15.956778443627673,32609.454439935205,166.01232041571544,0,0,100
StaticRelayPolicy,-1,0,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,1,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,2,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,3,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
StaticRelayPolicy,-1,4,1746559.4043063342,3493118.8086126684,14644726.562488772,10.259874235952203,25614.449047363833,143.9146712067716,0,0,100
MidpointPolicy,-1,0,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,1,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,2,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,3,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
MidpointPolicy,-1,4,2981117.0676559405,5962234.135311881,8396537.843587799,65.57230183837962,1050.3568492082954,195.02430044495387,0,94,100
HorizontalMidpointPolicy,-1,0,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
HorizontalMidpointPolicy,-1,1,1722315.499310669,3444630.998621338,15652977.283083403,9.887863972903595,51636.69130017767,140.22417994881758,0,0,100
